PW_MODEL_PW2281S_20_6 
Capacity=4.2657AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.265434, 0.171341 
1, 3.341629, 0.170662 
2, 3.445345, 0.16988 
3, 3.482136, 0.16968 
4, 3.511181, 0.169487 
5, 3.533087, 0.16934 
6, 3.562857, 0.169197 
7, 3.574038, 0.169215 
8, 3.583731, 0.169094 
9, 3.601301, 0.169164 
10, 3.609699, 0.169101 
11, 3.617773, 0.169121 
12, 3.625484, 0.169311 
13, 3.638704, 0.169065 
14, 3.64481, 0.169136 
15, 3.650721, 0.169363 
16, 3.655836, 0.16913 
17, 3.665895, 0.169389 
18, 3.670111, 0.169178 
19, 3.674435, 0.169396 
20, 3.681326, 0.169174 
21, 3.684492, 0.169163 
22, 3.687613, 0.169205 
23, 3.690647, 0.169186 
24, 3.696726, 0.16919 
25, 3.699722, 0.169168 
26, 3.702829, 0.16921 
27, 3.709013, 0.169222 
28, 3.712166, 0.16926 
29, 3.715229, 0.169308 
30, 3.718206, 0.169336 
31, 3.723972, 0.169357 
32, 3.72681, 0.169389 
33, 3.72954, 0.169392 
34, 3.734989, 0.16942 
35, 3.737671, 0.169478 
36, 3.740473, 0.169682 
37, 3.74291, 0.169546 
38, 3.74802, 0.169535 
39, 3.750566, 0.169517 
40, 3.753149, 0.169529 
41, 3.755728, 0.169552 
42, 3.76087, 0.169523 
43, 3.763481, 0.169536 
44, 3.766106, 0.169531 
45, 3.771389, 0.169498 
46, 3.77412, 0.16954 
47, 3.776871, 0.169504 
48, 3.779657, 0.169473 
49, 3.785429, 0.169472 
50, 3.788393, 0.169432 
51, 3.791409, 0.169449 
52, 3.797838, 0.169622 
53, 3.800873, 0.169424 
54, 3.804134, 0.169376 
55, 3.807503, 0.169388 
56, 3.814417, 0.169392 
57, 3.818138, 0.169515 
58, 3.821663, 0.169321 
59, 3.829247, 0.169331 
60, 3.833233, 0.169279 
61, 3.837475, 0.169483 
62, 3.841499, 0.169302 
63, 3.850321, 0.169289 
64, 3.854958, 0.169299 
65, 3.859793, 0.169287 
66, 3.864971, 0.169523 
67, 3.875244, 0.169382 
68, 3.880882, 0.169595 
69, 3.886232, 0.169393 
70, 3.897535, 0.169393 
71, 3.90332, 0.169319 
72, 3.909124, 0.169273 
73, 3.915052, 0.169204 
74, 3.927181, 0.168991 
75, 3.933491, 0.168894 
76, 3.940054, 0.168762 
77, 3.953691, 0.168521 
78, 3.960791, 0.168438 
79, 3.967962, 0.168289 
80, 3.975168, 0.16822 
81, 3.989202, 0.16818 
82, 3.996101, 0.168197 
83, 4.003048, 0.168207 
84, 4.017029, 0.168326 
85, 4.02396, 0.168365 
86, 4.030764, 0.168429 
87, 4.037434, 0.168503 
88, 4.050373, 0.168684 
89, 4.056732, 0.168793 
90, 4.063187, 0.168883 
91, 4.069826, 0.168995 
92, 4.083578, 0.169124 
93, 4.090731, 0.169186 
94, 4.097986, 0.169271 
95, 4.112913, 0.169632 
96, 4.120571, 0.169765 
97, 4.128489, 0.169875 
98, 4.136787, 0.170059 
99, 4.155975, 0.170477 
100, 4.187492, 0.165929 
