TEST_PARAM.comment:,115659 at 1A

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.204235
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1.0
TEST_PARAM.max_discharge_current:,1.0

TEST_PARAM.measure_interval:,120.0

TEST_PARAM.discharge_start_time:,04/27/23 12:50:50
TEST_PARAM.discharge_stop_time:,04/27/23 17:06:47

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.187492,4.021563,0.165929
BATT_MODEL_RAW:,2,119.974,4.155975,3.985498,0.170477
BATT_MODEL_RAW:,3,239.941,4.145641,3.975393,0.170248
BATT_MODEL_RAW:,4,359.917,4.136787,3.966728,0.170059
BATT_MODEL_RAW:,5,479.893,4.128489,3.958614,0.169875
BATT_MODEL_RAW:,6,599.865,4.120571,3.950806,0.169765
BATT_MODEL_RAW:,7,719.842,4.112913,3.943281,0.169632
BATT_MODEL_RAW:,8,839.813,4.10537,3.935911,0.169459
BATT_MODEL_RAW:,9,959.787,4.097986,3.928715,0.169271
BATT_MODEL_RAW:,10,1079.76,4.090731,3.921545,0.169186
BATT_MODEL_RAW:,11,1199.735,4.083578,3.914454,0.169124
BATT_MODEL_RAW:,12,1319.705,4.076635,3.907574,0.169061
BATT_MODEL_RAW:,13,1439.68,4.069826,3.900831,0.168995
BATT_MODEL_RAW:,14,1559.656,4.063187,3.894304,0.168883
BATT_MODEL_RAW:,15,1679.626,4.056732,3.887939,0.168793
BATT_MODEL_RAW:,16,1799.603,4.050373,3.881689,0.168684
BATT_MODEL_RAW:,17,1919.573,4.043959,3.875341,0.168618
BATT_MODEL_RAW:,18,2039.55,4.037434,3.868931,0.168503
BATT_MODEL_RAW:,19,2159.517,4.030764,3.862335,0.168429
BATT_MODEL_RAW:,20,2279.494,4.02396,3.855595,0.168365
BATT_MODEL_RAW:,21,2399.466,4.017029,3.848703,0.168326
BATT_MODEL_RAW:,22,2519.442,4.010025,3.841776,0.168249
BATT_MODEL_RAW:,23,2639.417,4.003048,3.834841,0.168207
BATT_MODEL_RAW:,24,2759.386,3.996101,3.827904,0.168197
BATT_MODEL_RAW:,25,2879.364,3.989202,3.821022,0.16818
BATT_MODEL_RAW:,26,2999.338,3.982183,3.814001,0.168182
BATT_MODEL_RAW:,27,3119.315,3.975168,3.806948,0.16822
BATT_MODEL_RAW:,28,3239.286,3.967962,3.799673,0.168289
BATT_MODEL_RAW:,29,3359.261,3.960791,3.792353,0.168438
BATT_MODEL_RAW:,30,3479.229,3.953691,3.78517,0.168521
BATT_MODEL_RAW:,31,3599.201,3.946758,3.778114,0.168644
BATT_MODEL_RAW:,32,3719.177,3.940054,3.771292,0.168762
BATT_MODEL_RAW:,33,3839.146,3.933491,3.764597,0.168894
BATT_MODEL_RAW:,34,3959.122,3.927181,3.75819,0.168991
BATT_MODEL_RAW:,35,4079.094,3.921062,3.751936,0.169126
BATT_MODEL_RAW:,36,4199.062,3.915052,3.745848,0.169204
BATT_MODEL_RAW:,37,4319.036,3.909124,3.739851,0.169273
BATT_MODEL_RAW:,38,4439.013,3.90332,3.734001,0.169319
BATT_MODEL_RAW:,39,4558.984,3.897535,3.728142,0.169393
BATT_MODEL_RAW:,40,4678.957,3.891857,3.722467,0.16939
BATT_MODEL_RAW:,41,4798.93,3.886232,3.716839,0.169393
BATT_MODEL_RAW:,42,4918.903,3.880882,3.711287,0.169595
BATT_MODEL_RAW:,43,5038.879,3.875244,3.705862,0.169382
BATT_MODEL_RAW:,44,5158.857,3.869955,3.700586,0.169369
BATT_MODEL_RAW:,45,5278.834,3.864971,3.695448,0.169523
BATT_MODEL_RAW:,46,5398.811,3.859793,3.690506,0.169287
BATT_MODEL_RAW:,47,5518.778,3.854958,3.685659,0.169299
BATT_MODEL_RAW:,48,5638.756,3.850321,3.681032,0.169289
BATT_MODEL_RAW:,49,5758.73,3.845839,3.676533,0.169306
BATT_MODEL_RAW:,50,5878.7,3.841499,3.672197,0.169302
BATT_MODEL_RAW:,51,5998.669,3.837475,3.667992,0.169483
BATT_MODEL_RAW:,52,6118.638,3.833233,3.663954,0.169279
BATT_MODEL_RAW:,53,6238.605,3.829247,3.659916,0.169331
BATT_MODEL_RAW:,54,6358.576,3.825399,3.656075,0.169324
BATT_MODEL_RAW:,55,6478.542,3.821663,3.652342,0.169321
BATT_MODEL_RAW:,56,6598.516,3.818138,3.648623,0.169515
