TEST_PARAM.comment:,485573 LiPo

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.132809
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1.0
TEST_PARAM.max_discharge_current:,1.0

TEST_PARAM.measure_interval:,120.0

TEST_PARAM.discharge_start_time:,07/23/22 12:08:25
TEST_PARAM.discharge_stop_time:,07/23/22 14:22:23

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.150503,4.010979,0.139524
BATT_MODEL_RAW:,2,119.973,4.097799,3.957266,0.140533
BATT_MODEL_RAW:,3,239.949,4.075169,3.93494,0.140229
BATT_MODEL_RAW:,4,359.924,4.060732,3.920694,0.140038
BATT_MODEL_RAW:,5,479.89,4.045282,3.905474,0.139808
BATT_MODEL_RAW:,6,599.862,4.032194,3.892384,0.13981
BATT_MODEL_RAW:,7,719.829,4.020559,3.880753,0.139806
BATT_MODEL_RAW:,8,839.804,4.009964,3.87019,0.139774
BATT_MODEL_RAW:,9,959.777,4.000097,3.860331,0.139766
BATT_MODEL_RAW:,10,1079.749,3.990658,3.850941,0.139717
BATT_MODEL_RAW:,11,1199.717,3.981379,3.841677,0.139702
BATT_MODEL_RAW:,12,1319.688,3.972061,3.832399,0.139662
BATT_MODEL_RAW:,13,1439.664,3.962551,3.822926,0.139625
BATT_MODEL_RAW:,14,1559.638,3.952864,3.813309,0.139555
BATT_MODEL_RAW:,15,1679.607,3.942884,3.803364,0.13952
BATT_MODEL_RAW:,16,1799.574,3.932735,3.793251,0.139484
BATT_MODEL_RAW:,17,1919.552,3.922491,3.783047,0.139444
BATT_MODEL_RAW:,18,2039.522,3.912258,3.772867,0.139391
BATT_MODEL_RAW:,19,2159.494,3.902096,3.762724,0.139372
BATT_MODEL_RAW:,20,2279.472,3.892136,3.752785,0.139351
BATT_MODEL_RAW:,21,2399.442,3.882465,3.742992,0.139473
BATT_MODEL_RAW:,22,2519.413,3.873032,3.733629,0.139403
BATT_MODEL_RAW:,23,2639.379,3.863922,3.724531,0.139391
BATT_MODEL_RAW:,24,2759.347,3.855085,3.715715,0.13937
BATT_MODEL_RAW:,25,2879.313,3.846504,3.70714,0.139364
BATT_MODEL_RAW:,26,2999.287,3.838177,3.698784,0.139393
BATT_MODEL_RAW:,27,3119.264,3.829975,3.690601,0.139374
BATT_MODEL_RAW:,28,3239.236,3.821873,3.682486,0.139387
BATT_MODEL_RAW:,29,3359.21,3.813883,3.674471,0.139412
BATT_MODEL_RAW:,30,3479.186,3.805767,3.666397,0.13937
BATT_MODEL_RAW:,31,3599.156,3.797705,3.658312,0.139393
BATT_MODEL_RAW:,32,3719.125,3.789551,3.650135,0.139416
BATT_MODEL_RAW:,33,3839.094,3.781313,3.641897,0.139416
BATT_MODEL_RAW:,34,3959.061,3.772894,3.633438,0.139456
BATT_MODEL_RAW:,35,4079.032,3.764324,3.624872,0.139452
BATT_MODEL_RAW:,36,4199.009,3.755566,3.616112,0.139454
BATT_MODEL_RAW:,37,4318.978,3.74655,3.607111,0.139439
BATT_MODEL_RAW:,38,4438.95,3.737234,3.59782,0.139414
BATT_MODEL_RAW:,39,4558.922,3.727581,3.588156,0.139425
BATT_MODEL_RAW:,40,4678.899,3.717501,3.578068,0.139433
BATT_MODEL_RAW:,41,4798.868,3.706944,3.567513,0.139431
BATT_MODEL_RAW:,42,4918.845,3.695906,3.556465,0.139441
BATT_MODEL_RAW:,43,5038.814,3.684315,3.54487,0.139445
BATT_MODEL_RAW:,44,5158.783,3.67227,3.532825,0.139445
BATT_MODEL_RAW:,45,5278.749,3.659801,3.520367,0.139434
BATT_MODEL_RAW:,46,5398.719,3.647099,3.507614,0.139485
BATT_MODEL_RAW:,47,5518.687,3.63409,3.494663,0.139427
BATT_MODEL_RAW:,48,5638.664,3.621117,3.481731,0.139386
BATT_MODEL_RAW:,49,5758.634,3.608232,3.468859,0.139373
BATT_MODEL_RAW:,50,5878.607,3.595573,3.456257,0.139316
BATT_MODEL_RAW:,51,5998.577,3.583185,3.443932,0.139253
BATT_MODEL_RAW:,52,6118.544,3.571218,3.431927,0.139291
BATT_MODEL_RAW:,53,6238.521,3.559492,3.420303,0.139189
BATT_MODEL_RAW:,54,6358.488,3.548157,3.408937,0.13922
BATT_MODEL_RAW:,55,6478.463,3.536966,3.397881,0.139085
BATT_MODEL_RAW:,56,6598.432,3.526012,3.386967,0.139045
BATT_MODEL_RAW:,57,6718.399,3.515041,3.375986,0.139055
BATT_MODEL_RAW:,58,6838.369,3.503845,3.364809,0.139036
BATT_MODEL_RAW:,59,6958.339,3.492111,3.353062,0.139049
BATT_MODEL_RAW:,60,7078.316,3.479601,3.340502,0.139099
BATT_MODEL_RAW:,61,7198.286,3.466026,3.326838,0.139188
BATT_MODEL_RAW:,62,7318.255,3.450735,3.311378,0.139357
BATT_MODEL_RAW:,63,7438.222,3.433231,3.29365,0.139581
BATT_MODEL_RAW:,64,7558.191,3.412083,3.272318,0.139765
BATT_MODEL_RAW:,65,7678.163,3.384266,3.244211,0.140055
BATT_MODEL_RAW:,66,7798.131,3.344702,3.204426,0.140276
BATT_MODEL_RAW:,67,7918.107,3.286261,3.145697,0.140564
BATT_MODEL_RAW:,68,8038.081,3.197168,3.056187,0.140981
BATT_MODEL_RAW.capacity:,2.2328

BATT_MODEL:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL:,1,8038.081,3.197168,3.056187,0.140981
BATT_MODEL:,2,7918.107,3.286261,3.145697,0.140564
BATT_MODEL:,3,7918.107,3.286261,3.145697,0.140564
BATT_MODEL:,4,7798.131,3.344702,3.204426,0.140276
BATT_MODEL:,5,7678.163,3.384266,3.244211,0.140055
BATT_MODEL:,6,7678.163,3.384266,3.244211,0.140055
BATT_MODEL:,7,7558.191,3.412083,3.272318,0.139765
BATT_MODEL:,8,7438.222,3.433231,3.29365,0.139581
BATT_MODEL:,9,7438.222,3.433231,3.29365,0.139581
BATT_MODEL:,10,7318.255,3.450735,3.311378,0.139357
BATT_MODEL:,11,7198.286,3.466026,3.326838,0.139188
BATT_MODEL:,12,7198.286,3.466026,3.326838,0.139188
BATT_MODEL:,13,7078.316,3.479601,3.340502,0.139099
BATT_MODEL:,14,6958.339,3.492111,3.353062,0.139049
BATT_MODEL:,15,6958.339,3.492111,3.353062,0.139049
BATT_MODEL:,16,6838.369,3.503845,3.364809,0.139036
BATT_MODEL:,17,6718.399,3.515041,3.375986,0.139055
BATT_MODEL:,18,6718.399,3.515041,3.375986,0.139055
BATT_MODEL:,19,6598.432,3.526012,3.386967,0.139045
BATT_MODEL:,20,6478.463,3.536966,3.397881,0.139085
BATT_MODEL:,21,6478.463,3.536966,3.397881,0.139085
BATT_MODEL:,22,6358.488,3.548157,3.408937,0.13922
BATT_MODEL:,23,6238.521,3.559492,3.420303,0.139189
BATT_MODEL:,24,6238.521,3.559492,3.420303,0.139189
BATT_MODEL:,25,6118.544,3.571218,3.431927,0.139291
BATT_MODEL:,26,5998.577,3.583185,3.443932,0.139253
BATT_MODEL:,27,5998.577,3.583185,3.443932,0.139253
BATT_MODEL:,28,5878.607,3.595573,3.456257,0.139316
BATT_MODEL:,29,5758.634,3.608232,3.468859,0.139373
BATT_MODEL:,30,5758.634,3.608232,3.468859,0.139373
BATT_MODEL:,31,5638.664,3.621117,3.481731,0.139386
BATT_MODEL:,32,5518.687,3.63409,3.494663,0.139427
BATT_MODEL:,33,5518.687,3.63409,3.494663,0.139427
BATT_MODEL:,34,5398.719,3.647099,3.507614,0.139485
BATT_MODEL:,35,5278.749,3.659801,3.520367,0.139434
BATT_MODEL:,36,5278.749,3.659801,3.520367,0.139434
BATT_MODEL:,37,5158.783,3.67227,3.532825,0.139445
BATT_MODEL:,38,5038.814,3.684315,3.54487,0.139445
BATT_MODEL:,39,5038.814,3.684315,3.54487,0.139445
BATT_MODEL:,40,4918.845,3.695906,3.556465,0.139441
BATT_MODEL:,41,4798.868,3.706944,3.567513,0.139431
BATT_MODEL:,42,4798.868,3.706944,3.567513,0.139431
BATT_MODEL:,43,4678.899,3.717501,3.578068,0.139433
BATT_MODEL:,44,4558.922,3.727581,3.588156,0.139425
BATT_MODEL:,45,4558.922,3.727581,3.588156,0.139425
BATT_MODEL:,46,4438.95,3.737234,3.59782,0.139414
BATT_MODEL:,47,4318.978,3.74655,3.607111,0.139439
BATT_MODEL:,48,4318.978,3.74655,3.607111,0.139439
BATT_MODEL:,49,4199.009,3.755566,3.616112,0.139454
BATT_MODEL:,50,4079.032,3.764324,3.624872,0.139452
BATT_MODEL:,51,3959.061,3.772894,3.633438,0.139456
BATT_MODEL:,52,3959.061,3.772894,3.633438,0.139456
BATT_MODEL:,53,3839.094,3.781313,3.641897,0.139416
BATT_MODEL:,54,3719.125,3.789551,3.650135,0.139416
BATT_MODEL:,55,3719.125,3.789551,3.650135,0.139416
BATT_MODEL:,56,3599.156,3.797705,3.658312,0.139393
BATT_MODEL:,57,3479.186,3.805767,3.666397,0.13937
BATT_MODEL:,58,3479.186,3.805767,3.666397,0.13937
BATT_MODEL:,59,3359.21,3.813883,3.674471,0.139412
BATT_MODEL:,60,3239.236,3.821873,3.682486,0.139387
BATT_MODEL:,61,3239.236,3.821873,3.682486,0.139387
BATT_MODEL:,62,3119.264,3.829975,3.690601,0.139374
BATT_MODEL:,63,2999.287,3.838177,3.698784,0.139393
BATT_MODEL:,64,2999.287,3.838177,3.698784,0.139393
BATT_MODEL:,65,2879.313,3.846504,3.70714,0.139364
BATT_MODEL:,66,2759.347,3.855085,3.715715,0.13937
BATT_MODEL:,67,2759.347,3.855085,3.715715,0.13937
BATT_MODEL:,68,2639.379,3.863922,3.724531,0.139391
BATT_MODEL:,69,2519.413,3.873032,3.733629,0.139403
BATT_MODEL:,70,2519.413,3.873032,3.733629,0.139403
BATT_MODEL:,71,2399.442,3.882465,3.742992,0.139473
BATT_MODEL:,72,2279.472,3.892136,3.752785,0.139351
BATT_MODEL:,73,2279.472,3.892136,3.752785,0.139351
BATT_MODEL:,74,2159.494,3.902096,3.762724,0.139372
BATT_MODEL:,75,2039.522,3.912258,3.772867,0.139391
BATT_MODEL:,76,2039.522,3.912258,3.772867,0.139391
BATT_MODEL:,77,1919.552,3.922491,3.783047,0.139444
BATT_MODEL:,78,1799.574,3.932735,3.793251,0.139484
BATT_MODEL:,79,1799.574,3.932735,3.793251,0.139484
BATT_MODEL:,80,1679.607,3.942884,3.803364,0.13952
BATT_MODEL:,81,1559.638,3.952864,3.813309,0.139555
BATT_MODEL:,82,1559.638,3.952864,3.813309,0.139555
BATT_MODEL:,83,1439.664,3.962551,3.822926,0.139625
BATT_MODEL:,84,1319.688,3.972061,3.832399,0.139662
BATT_MODEL:,85,1319.688,3.972061,3.832399,0.139662
BATT_MODEL:,86,1199.717,3.981379,3.841677,0.139702
BATT_MODEL:,87,1079.749,3.990658,3.850941,0.139717
BATT_MODEL:,88,1079.749,3.990658,3.850941,0.139717
BATT_MODEL:,89,959.777,4.000097,3.860331,0.139766
BATT_MODEL:,90,839.804,4.009964,3.87019,0.139774
BATT_MODEL:,91,839.804,4.009964,3.87019,0.139774
BATT_MODEL:,92,719.829,4.020559,3.880753,0.139806
BATT_MODEL:,93,599.862,4.032194,3.892384,0.13981
BATT_MODEL:,94,599.862,4.032194,3.892384,0.13981
BATT_MODEL:,95,479.89,4.045282,3.905474,0.139808
BATT_MODEL:,96,359.924,4.060732,3.920694,0.140038
BATT_MODEL:,97,359.924,4.060732,3.920694,0.140038
BATT_MODEL:,98,239.949,4.075169,3.93494,0.140229
BATT_MODEL:,99,119.973,4.097799,3.957266,0.140533
BATT_MODEL:,100,119.973,4.097799,3.957266,0.140533
BATT_MODEL:,101,0.0,4.150503,4.010979,0.139524
BATT_MODEL.capacity:,2.2328
