PW_MODEL_PW2281S_20_6 
Capacity=4.7989AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.155731, 0.096866 
1, 3.221531, 0.096586 
2, 3.316328, 0.096268 
3, 3.35133, 0.096192 
4, 3.402727, 0.096039 
5, 3.421692, 0.095993 
6, 3.451435, 0.095861 
7, 3.462749, 0.095792 
8, 3.480131, 0.09568 
9, 3.487284, 0.095612 
10, 3.49395, 0.095589 
11, 3.506802, 0.095519 
12, 3.513159, 0.09552 
13, 3.52581, 0.09547 
14, 3.532192, 0.095434 
15, 3.545261, 0.09542 
16, 3.552011, 0.095405 
17, 3.558897, 0.095417 
18, 3.572744, 0.095399 
19, 3.579678, 0.095419 
20, 3.593699, 0.095385 
21, 3.600786, 0.095377 
22, 3.615278, 0.095388 
23, 3.622717, 0.095402 
24, 3.637884, 0.095413 
25, 3.645641, 0.095461 
26, 3.653414, 0.09544 
27, 3.669115, 0.095425 
28, 3.676958, 0.095404 
29, 3.692389, 0.095381 
30, 3.699915, 0.095367 
31, 3.71442, 0.095344 
32, 3.721308, 0.095341 
33, 3.73431, 0.095316 
34, 3.740417, 0.095315 
35, 3.746256, 0.095299 
36, 3.757132, 0.095301 
37, 3.762226, 0.095266 
38, 3.771742, 0.095268 
39, 3.776228, 0.095272 
40, 3.784672, 0.095265 
41, 3.788679, 0.095255 
42, 3.792559, 0.095276 
43, 3.799995, 0.095258 
44, 3.803551, 0.095267 
45, 3.810469, 0.095246 
46, 3.813843, 0.095291 
47, 3.820351, 0.095272 
48, 3.823559, 0.095265 
49, 3.829834, 0.09527 
50, 3.832916, 0.095278 
51, 3.836, 0.095293 
52, 3.842064, 0.095272 
53, 3.845079, 0.095287 
54, 3.851086, 0.095261 
55, 3.854063, 0.095251 
56, 3.86009, 0.095199 
57, 3.863089, 0.095225 
58, 3.869242, 0.095225 
59, 3.872379, 0.095207 
60, 3.875587, 0.095199 
61, 3.882227, 0.095203 
62, 3.88578, 0.095197 
63, 3.893173, 0.095228 
64, 3.897045, 0.095264 
65, 3.90513, 0.09527 
66, 3.909334, 0.095289 
67, 3.913568, 0.095314 
68, 3.922274, 0.095364 
69, 3.926653, 0.095385 
70, 3.935534, 0.095435 
71, 3.939976, 0.095436 
72, 3.948746, 0.095518 
73, 3.953066, 0.095543 
74, 3.961521, 0.095627 
75, 3.965595, 0.095651 
76, 3.969601, 0.095682 
77, 3.977213, 0.095797 
78, 3.980886, 0.09584 
79, 3.987789, 0.095898 
80, 3.991081, 0.095951 
81, 3.997324, 0.096004 
82, 4.000311, 0.09605 
83, 4.006056, 0.096129 
84, 4.00886, 0.096173 
85, 4.011604, 0.096176 
86, 4.017139, 0.096256 
87, 4.020021, 0.096281 
88, 4.026367, 0.096321 
89, 4.029945, 0.096342 
90, 4.038162, 0.09639 
91, 4.042913, 0.096361 
92, 4.048107, 0.096346 
93, 4.060118, 0.096316 
94, 4.067068, 0.096264 
95, 4.082855, 0.096246 
96, 4.091841, 0.096182 
97, 4.11268, 0.096183 
98, 4.124756, 0.096129 
99, 4.155617, 0.096739 
100, 4.19363, 0.09642 
