TEST_PARAM.comment:,Two parallel 485573 at 1A

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.194977
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1.0
TEST_PARAM.max_discharge_current:,1.0

TEST_PARAM.measure_interval:,120.0

TEST_PARAM.discharge_start_time:,07/27/22 17:16:08
TEST_PARAM.discharge_stop_time:,07/27/22 22:04:05

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.19363,4.09721,0.09642
BATT_MODEL_RAW:,2,119.97,4.155617,4.058878,0.096739
BATT_MODEL_RAW:,3,239.947,4.138458,4.042284,0.096174
BATT_MODEL_RAW:,4,359.914,4.124756,4.028627,0.096129
BATT_MODEL_RAW:,5,479.887,4.11268,4.016497,0.096183
BATT_MODEL_RAW:,6,599.857,4.101778,4.005569,0.096209
BATT_MODEL_RAW:,7,719.824,4.091841,3.995659,0.096182
BATT_MODEL_RAW:,8,839.793,4.082855,3.986609,0.096246
BATT_MODEL_RAW:,9,959.764,4.0746,3.978327,0.096273
BATT_MODEL_RAW:,10,1079.736,4.067068,3.970804,0.096264
BATT_MODEL_RAW:,11,1199.703,4.060118,3.963802,0.096316
BATT_MODEL_RAW:,12,1319.674,4.053854,3.957539,0.096315
BATT_MODEL_RAW:,13,1439.648,4.048107,3.951761,0.096346
BATT_MODEL_RAW:,14,1559.618,4.042913,3.946552,0.096361
BATT_MODEL_RAW:,15,1679.594,4.038162,3.941772,0.09639
BATT_MODEL_RAW:,16,1799.565,4.033867,3.937504,0.096363
BATT_MODEL_RAW:,17,1919.534,4.029945,3.933603,0.096342
BATT_MODEL_RAW:,18,2039.506,4.026367,3.930046,0.096321
BATT_MODEL_RAW:,19,2159.476,4.023075,3.926765,0.09631
BATT_MODEL_RAW:,20,2279.444,4.020021,3.92374,0.096281
BATT_MODEL_RAW:,21,2399.411,4.017139,3.920883,0.096256
BATT_MODEL_RAW:,22,2519.378,4.014334,3.918121,0.096213
BATT_MODEL_RAW:,23,2639.353,4.011604,3.915428,0.096176
BATT_MODEL_RAW:,24,2759.321,4.00886,3.912687,0.096173
BATT_MODEL_RAW:,25,2879.296,4.006056,3.909927,0.096129
BATT_MODEL_RAW:,26,2999.267,4.003242,3.907129,0.096113
BATT_MODEL_RAW:,27,3119.234,4.000311,3.904261,0.09605
BATT_MODEL_RAW:,28,3239.202,3.997324,3.90132,0.096004
BATT_MODEL_RAW:,29,3359.172,3.994249,3.898264,0.095985
BATT_MODEL_RAW:,30,3479.149,3.991081,3.89513,0.095951
BATT_MODEL_RAW:,31,3599.122,3.987789,3.891891,0.095898
BATT_MODEL_RAW:,32,3719.091,3.984381,3.888521,0.09586
BATT_MODEL_RAW:,33,3839.068,3.980886,3.885046,0.09584
BATT_MODEL_RAW:,34,3959.043,3.977213,3.881416,0.095797
BATT_MODEL_RAW:,35,4079.015,3.973465,3.877728,0.095737
BATT_MODEL_RAW:,36,4198.991,3.969601,3.873919,0.095682
BATT_MODEL_RAW:,37,4318.965,3.965595,3.869944,0.095651
BATT_MODEL_RAW:,38,4438.941,3.961521,3.865894,0.095627
BATT_MODEL_RAW:,39,4558.912,3.957308,3.861738,0.09557
BATT_MODEL_RAW:,40,4678.879,3.953066,3.857523,0.095543
BATT_MODEL_RAW:,41,4798.854,3.948746,3.853228,0.095518
BATT_MODEL_RAW:,42,4918.826,3.944374,3.8489,0.095474
BATT_MODEL_RAW:,43,5038.795,3.939976,3.84454,0.095436
BATT_MODEL_RAW:,44,5158.773,3.935534,3.840099,0.095435
BATT_MODEL_RAW:,45,5278.745,3.931086,3.835672,0.095414
BATT_MODEL_RAW:,46,5398.714,3.926653,3.831268,0.095385
BATT_MODEL_RAW:,47,5518.686,3.922274,3.82691,0.095364
BATT_MODEL_RAW:,48,5638.661,3.91786,3.82251,0.09535
BATT_MODEL_RAW:,49,5758.638,3.913568,3.818254,0.095314
BATT_MODEL_RAW:,50,5878.609,3.909334,3.814045,0.095289
BATT_MODEL_RAW:,51,5998.578,3.90513,3.80986,0.09527
BATT_MODEL_RAW:,52,6118.55,3.901037,3.805775,0.095262
BATT_MODEL_RAW:,53,6238.524,3.897045,3.801781,0.095264
BATT_MODEL_RAW:,54,6358.492,3.893173,3.797945,0.095228
BATT_MODEL_RAW:,55,6478.464,3.889418,3.794188,0.09523
BATT_MODEL_RAW:,56,6598.435,3.88578,3.790583,0.095197
BATT_MODEL_RAW:,57,6718.411,3.882227,3.787024,0.095203
BATT_MODEL_RAW:,58,6838.386,3.878859,3.783657,0.095202
BATT_MODEL_RAW:,59,6958.363,3.875587,3.780388,0.095199
BATT_MODEL_RAW:,60,7078.332,3.872379,3.777172,0.095207
BATT_MODEL_RAW:,61,7198.301,3.869242,3.774017,0.095225
BATT_MODEL_RAW:,62,7318.27,3.866152,3.770945,0.095207
BATT_MODEL_RAW:,63,7438.242,3.863089,3.767864,0.095225
BATT_MODEL_RAW:,64,7558.218,3.86009,3.764891,0.095199
