PW_MODEL_PW2281S_20_6 
Capacity=2.703AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.3116226196, 1.1515808105 
1, 3.4681549072, 1.146774292 
2, 3.5861549377, 1.1429977417 
3, 3.6964225769, 1.1376571655 
4, 3.7875041962, 1.1301231384 
5, 3.8656616211, 1.1190223694 
6, 3.9258651733, 1.1040878296 
7, 3.9833583832, 1.0850143433 
8, 4.0344429016, 1.0586357117 
9, 4.0797615051, 1.0277175903 
10, 4.1184310913, 0.99817276001 
11, 4.1591529846, 0.96387863159 
12, 4.1994438171, 0.92720031738 
13, 4.2341022491, 0.89033126831 
14, 4.2702560425, 0.84953308105 
15, 4.3060016632, 0.81661224365 
16, 4.3444137573, 0.79877853394 
17, 4.3806877136, 0.79277038574 
18, 4.420671463, 0.7887840271 
19, 4.4596004486, 0.78441619873 
20, 4.4963169098, 0.77968597412 
21, 4.5274868011, 0.77547073364 
22, 4.559053421, 0.77047348022 
23, 4.5882148743, 0.76639175415 
24, 4.6158084869, 0.76244354248 
25, 4.63971138, 0.75918197632 
26, 4.6650028229, 0.75611114502 
27, 4.6895256042, 0.75304031372 
28, 4.7104530334, 0.75048446655 
29, 4.732219696, 0.74859619141 
30, 4.7527561188, 0.74666976929 
31, 4.7714138031, 0.74625015259 
32, 4.7864837646, 0.74657440186 
33, 4.8024024963, 0.7470703125 
34, 4.8185768127, 0.74779510498 
35, 4.8364295959, 0.74718475342 
36, 4.8528060913, 0.74588775635 
37, 4.8706588745, 0.74424743652 
38, 4.8880023956, 0.74253082275 
39, 4.9028911591, 0.74100494385 
40, 4.9180259705, 0.73970794678 
41, 4.9311294556, 0.73907852173 
42, 4.9420795441, 0.7399559021 
43, 4.9516124725, 0.74102401733 
44, 4.9616203308, 0.74169158936 
45, 4.9717750549, 0.74275970459 
46, 4.9840583801, 0.74226379395 
47, 4.9963531494, 0.74064254761 
48, 5.0111179352, 0.7373046875 
49, 5.0254840851, 0.73415756226 
50, 5.0387821198, 0.73080062866 
51, 5.0492954254, 0.72849273682 
52, 5.0602989197, 0.72633743286 
53, 5.0714111328, 0.72374343872 
54, 5.0808887482, 0.72175979614 
55, 5.0909366608, 0.71973800659 
56, 5.1005916595, 0.71779251099 
57, 5.1099338531, 0.71588516235 
58, 5.1183338165, 0.7149887085 
59, 5.1277351379, 0.7130241394 
60, 5.1371707916, 0.71113586426 
61, 5.1463184357, 0.70943832397 
62, 5.1546039581, 0.70829391479 
63, 5.1647491455, 0.70625305176 
64, 5.1764087677, 0.70285797119 
65, 5.1877059937, 0.69917678833 
66, 5.2005996704, 0.69496154785 
67, 5.2137813568, 0.69023132324 
68, 5.2273082733, 0.68532943726 
69, 5.239780426, 0.68040847778 
70, 5.2540664673, 0.67556381226 
71, 5.2688083649, 0.670337677 
72, 5.2840518951, 0.66486358643 
73, 5.2982845306, 0.65977096558 
74, 5.3146533966, 0.65393447876 
75, 5.3317203522, 0.64855575562 
76, 5.347738266, 0.6432723999 
77, 5.3663139343, 0.6378364563 
78, 5.3857574463, 0.63257217407 
79, 5.406003952, 0.62700271606 
80, 5.4249229431, 0.62274932861 
81, 5.4464302063, 0.61706542969 
82, 5.4680767059, 0.61231613159 
83, 5.4896583557, 0.60913085938 
84, 5.5093994141, 0.60726165771 
85, 5.5319423676, 0.60506820679 
86, 5.5547714233, 0.60373306274 
87, 5.5775356293, 0.60369491577 
88, 5.5983734131, 0.60441970825 
89, 5.6225509644, 0.60583114624 
90, 5.6485061646, 0.60815811157 
91, 5.674030304, 0.61000823975 
92, 5.7053966522, 0.61201095581 
93, 5.7412338257, 0.61141967773 
94, 5.7831993103, 0.60750961304 
95, 5.8285942078, 0.59988021851 
96, 5.8901195526, 0.59135437012 
97, 5.9665565491, 0.5871963501 
98, 6.0657920837, 0.59028625488 
99, 6.1882457733, 0.61285018921 
100, 6.4563274384, 1.8331336975 
