TEST_PARAM.comment:,4xaa

SourceMeter Model:,2450
SourceMeter S/N:,04518725
SourceMeter Firmware:,1.7.7b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,6.4827013016
TEST_PARAM.vcutoff:,3.2

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.1
TEST_PARAM.max_discharge_current:,0.1

TEST_PARAM.measure_interval:,100

TEST_PARAM.discharge_start_time:,12/04/21 08:06:17
TEST_PARAM.discharge_stop_time:,12/05/21 11:08:04

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03484096,6.4563274384,6.2730140686,1.8331336975
BATT_MODEL_RAW:,2,100.03971718,6.3802967072,6.2983875275,0.81909179688
BATT_MODEL_RAW:,3,200.04828864,6.3496990204,6.2757759094,0.73923110962
BATT_MODEL_RAW:,4,300.05687526,6.3237533569,6.2537975311,0.69955825806
BATT_MODEL_RAW:,5,400.05729496,6.3004436493,6.2329826355,0.67461013794
BATT_MODEL_RAW:,6,500.06573038,6.2789535522,6.2132415771,0.65711975098
BATT_MODEL_RAW:,7,600.07495034,6.258846283,6.1944618225,0.64384460449
BATT_MODEL_RAW:,8,700.0841145,6.2398815155,6.1765022278,0.6337928772
BATT_MODEL_RAW:,9,800.09288752,6.2218475342,6.1593284607,0.62519073486
BATT_MODEL_RAW:,10,900.09323232,6.2046813965,6.1428909302,0.61790466309
BATT_MODEL_RAW:,11,1000.1015872,6.1882457733,6.1269607544,0.61285018921
BATT_MODEL_RAW:,12,1100.1018797,6.1724948883,6.1116828918,0.6081199646
BATT_MODEL_RAW:,13,1200.1026577,6.1573467255,6.0968837738,0.6046295166
BATT_MODEL_RAW:,14,1300.1104671,6.142791748,6.0826740265,0.60117721558
BATT_MODEL_RAW:,15,1400.1196336,6.1287765503,6.0689239502,0.59852600098
BATT_MODEL_RAW:,16,1500.1282826,6.1152687073,6.0555801392,0.59688568115
BATT_MODEL_RAW:,17,1600.1371418,6.1022472382,6.0427379608,0.59509277344
BATT_MODEL_RAW:,18,1700.1468527,6.0896854401,6.03033638,0.59349060059
BATT_MODEL_RAW:,19,1800.1548541,6.0775299072,6.01836586,0.59164047241
BATT_MODEL_RAW:,20,1900.1644927,6.0657920837,6.0067634583,0.59028625488
BATT_MODEL_RAW:,21,2000.1726842,6.0544528961,5.9955425262,0.58910369873
BATT_MODEL_RAW:,22,2100.1807189,6.0434570313,5.9846229553,0.58834075928
BATT_MODEL_RAW:,23,2200.1891035,6.032831192,5.9740390778,0.58792114258
BATT_MODEL_RAW:,24,2300.1976786,6.0225276947,5.9637966156,0.58731079102
BATT_MODEL_RAW:,25,2400.2067798,6.0125102997,5.953792572,0.58717727661
BATT_MODEL_RAW:,26,2500.2134756,6.0027942657,5.9441070557,0.58687210083
BATT_MODEL_RAW:,27,2600.2138868,5.9933700562,5.9346847534,0.58685302734
BATT_MODEL_RAW:,28,2700.2220805,5.9841861725,5.9255046844,0.58681488037
BATT_MODEL_RAW:,29,2800.2291948,5.9752559662,5.9165821075,0.58673858643
BATT_MODEL_RAW:,30,2900.2370398,5.9665565491,5.9078369141,0.5871963501
BATT_MODEL_RAW:,31,3000.2457004,5.9580783844,5.8993663788,0.58712005615
BATT_MODEL_RAW:,32,3100.2540466,5.949804306,5.8910675049,0.58736801147
BATT_MODEL_RAW:,33,3200.2615046,5.9417247772,5.8829784393,0.58746337891
BATT_MODEL_RAW:,34,3300.2702825,5.9338512421,5.8750801086,0.58771133423
BATT_MODEL_RAW:,35,3400.279014,5.9261550903,5.8673286438,0.58826446533
BATT_MODEL_RAW:,36,3500.2878022,5.9186172485,5.8597640991,0.58853149414
BATT_MODEL_RAW:,37,3600.2962662,5.9112586975,5.8523101807,0.58948516846
BATT_MODEL_RAW:,38,3700.304681,5.9040546417,5.8450183868,0.59036254883
BATT_MODEL_RAW:,39,3800.3129495,5.8970146179,5.8379440308,0.59070587158
BATT_MODEL_RAW:,40,3900.3203672,5.8901195526,5.8309841156,0.59135437012
BATT_MODEL_RAW:,41,4000.3292538,5.8833713531,5.8241615295,0.59209823608
BATT_MODEL_RAW:,42,4100.3297586,5.8767776489,5.8174667358,0.59310913086
BATT_MODEL_RAW:,43,4200.3367441,5.870300293,5.8108844757,0.59415817261
BATT_MODEL_RAW:,44,4300.3440157,5.8639698029,5.8044757843,0.59494018555
BATT_MODEL_RAW:,45,4400.3533395,5.8577728271,5.7981796265,0.59593200684
BATT_MODEL_RAW:,46,4500.362511,5.8516845703,5.7920703888,0.59614181519
BATT_MODEL_RAW:,47,4600.3710501,5.8457298279,5.7860107422,0.59719085693
BATT_MODEL_RAW:,48,4700.378094,5.8399028778,5.7800674438,0.5983543396
BATT_MODEL_RAW:,49,4800.3872743,5.8342056274,5.7742862701,0.599193573
BATT_MODEL_RAW:,50,4900.3957293,5.8285942078,5.7686061859,0.59988021851
BATT_MODEL_RAW:,51,5000.4051213,5.8231220245,5.7630290985,0.60092926025
BATT_MODEL_RAW:,52,5100.4146344,5.8177490234,5.7575836182,0.60165405273
BATT_MODEL_RAW:,53,5200.4232316,5.8125038147,5.7522296906,0.60274124146
BATT_MODEL_RAW:,54,5300.4316152,5.8073654175,5.7470054626,0.60359954834
BATT_MODEL_RAW:,55,5400.4388257,5.8023338318,5.7418766022,0.60457229614
BATT_MODEL_RAW:,56,5500.4470312,5.7973957062,5.7368888855,0.60506820679
BATT_MODEL_RAW:,57,5600.4547819,5.7925605774,5.7319717407,0.6058883667
BATT_MODEL_RAW:,58,5700.4627755,5.7878379822,5.7271556854,0.60682296753
BATT_MODEL_RAW:,59,5800.471988,5.7831993103,5.722448349,0.60750961304
BATT_MODEL_RAW:,60,5900.4807008,5.7786579132,5.7178668976,0.60791015625
BATT_MODEL_RAW:,61,6000.4896692,5.7742061615,5.7133636475,0.60842514038
BATT_MODEL_RAW:,62,6100.4959014,5.7698326111,5.7089347839,0.60897827148
BATT_MODEL_RAW:,63,6200.5035995,5.7655334473,5.7045879364,0.60945510864
BATT_MODEL_RAW:,64,6300.5040584,5.7613182068,5.7003097534,0.61008453369
BATT_MODEL_RAW:,65,6400.5122234,5.7571811676,5.6961288452,0.61052322388
BATT_MODEL_RAW:,66,6500.5217295,5.7530899048,5.692024231,0.61065673828
BATT_MODEL_RAW:,67,6600.5310469,5.7490730286,5.6879825592,0.6109046936
BATT_MODEL_RAW:,68,6700.5395354,5.7451229095,5.6839866638,0.61136245728
BATT_MODEL_RAW:,69,6800.5464031,5.7412338257,5.6800918579,0.61141967773
BATT_MODEL_RAW:,70,6900.5538467,5.7374038696,5.6762237549,0.61180114746
BATT_MODEL_RAW:,71,7000.562247,5.7336273193,5.6724300385,0.61197280884
BATT_MODEL_RAW:,72,7100.5706679,5.7299060822,5.6687068939,0.61199188232
BATT_MODEL_RAW:,73,7200.5788063,5.7262496948,5.6650409698,0.61208724976
BATT_MODEL_RAW:,74,7300.5888166,5.7226352692,5.6614246368,0.61210632324
BATT_MODEL_RAW:,75,7400.5978723,5.7190952301,5.6578674316,0.61227798462
BATT_MODEL_RAW:,76,7500.607572,5.715587616,5.6543636322,0.61223983765
BATT_MODEL_RAW:,77,7600.6159169,5.712141037,5.6509380341,0.6120300293
BATT_MODEL_RAW:,78,7700.616119,5.7087364197,5.64752388,0.61212539673
BATT_MODEL_RAW:,79,7800.6245306,5.7053966522,5.6441955566,0.61201095581
BATT_MODEL_RAW:,80,7900.6314929,5.7020797729,5.6409244537,0.61155319214
BATT_MODEL_RAW:,81,8000.6318486,5.6988162994,5.637638092,0.61178207397
BATT_MODEL_RAW:,82,8100.6408297,5.6956043243,5.6344470978,0.61157226563
BATT_MODEL_RAW:,83,8200.6495651,5.6924095154,5.631269455,0.61140060425
BATT_MODEL_RAW:,84,8300.6564872,5.6892547607,5.6281414032,0.61113357544
BATT_MODEL_RAW:,85,8400.6651376,5.6861495972,5.6250648499,0.61084747314
BATT_MODEL_RAW:,86,8500.6737211,5.6830730438,5.6220226288,0.61050415039
BATT_MODEL_RAW:,87,8600.6823738,5.6800365448,5.6189823151,0.61054229736
BATT_MODEL_RAW:,88,8700.6908324,5.6770401001,5.6159763336,0.61063766479
BATT_MODEL_RAW:,89,8800.6992108,5.674030304,5.61302948,0.61000823975
BATT_MODEL_RAW:,90,8900.7077552,5.6711025238,5.6101074219,0.60995101929
BATT_MODEL_RAW:,91,9000.7149568,5.6681861877,5.6072177887,0.60968399048
BATT_MODEL_RAW:,92,9100.7213407,5.6652965546,5.6043624878,0.60934066772
BATT_MODEL_RAW:,93,9200.7301334,5.6624202728,5.6014976501,0.60922622681
BATT_MODEL_RAW:,94,9300.7378508,5.6595897675,5.5986843109,0.60905456543
BATT_MODEL_RAW:,95,9400.7450734,5.6567840576,5.5959033966,0.60880661011
BATT_MODEL_RAW:,96,9500.7550143,5.6539974213,5.5931243896,0.60873031616
BATT_MODEL_RAW:,97,9600.7623192,5.6512298584,5.5903835297,0.60846328735
BATT_MODEL_RAW:,98,9700.7694613,5.6485061646,5.5876903534,0.60815811157
BATT_MODEL_RAW:,99,9800.7774727,5.6457901001,5.585018158,0.60771942139
BATT_MODEL_RAW:,100,9900.7852479,5.6431255341,5.5823764801,0.60749053955
BATT_MODEL_RAW:,101,10000.793944,5.6404743195,5.5797538757,0.60720443726
BATT_MODEL_RAW:,102,10100.801063,5.6378555298,5.5771541595,0.60701370239
BATT_MODEL_RAW:,103,10200.809988,5.6352577209,5.5745658875,0.60691833496
BATT_MODEL_RAW:,104,10300.818264,5.6326637268,5.5720176697,0.60646057129
BATT_MODEL_RAW:,105,10400.824178,5.6301002502,5.5694675446,0.60632705688
BATT_MODEL_RAW:,106,10500.830715,5.6275806427,5.5669460297,0.60634613037
BATT_MODEL_RAW:,107,10600.837989,5.6250610352,5.5644454956,0.60615539551
BATT_MODEL_RAW:,108,10700.839023,5.6225509644,5.5619678497,0.60583114624
BATT_MODEL_RAW:,109,10800.846644,5.6200733185,5.5595340729,0.60539245605
BATT_MODEL_RAW:,110,10900.854456,5.6176052094,5.5570774078,0.60527801514
BATT_MODEL_RAW:,111,11000.863543,5.6151618958,5.5546646118,0.60497283936
BATT_MODEL_RAW:,112,11100.870839,5.6127376556,5.5522384644,0.60499191284
BATT_MODEL_RAW:,113,11200.878188,5.6103115082,5.5498371124,0.60474395752
BATT_MODEL_RAW:,114,11300.885926,5.6079063416,5.5474338531,0.60472488403
BATT_MODEL_RAW:,115,11400.895028,5.6055049896,5.5450363159,0.60468673706
BATT_MODEL_RAW:,116,11500.902774,5.6031208038,5.5426521301,0.60468673706
BATT_MODEL_RAW:,117,11600.910148,5.6007404327,5.5402889252,0.60451507568
BATT_MODEL_RAW:,118,11700.919949,5.5983734131,5.5379314423,0.60441970825
BATT_MODEL_RAW:,119,11800.926614,5.5960292816,5.5355987549,0.60430526733
BATT_MODEL_RAW:,120,11900.933749,5.5936813354,5.5332870483,0.60394287109
BATT_MODEL_RAW:,121,12000.942234,5.5913486481,5.5309524536,0.60396194458
BATT_MODEL_RAW:,122,12100.950843,5.5890235901,5.5286369324,0.60386657715
BATT_MODEL_RAW:,123,12200.957956,5.5867214203,5.5263271332,0.60394287109
BATT_MODEL_RAW:,124,12300.964584,5.5844154358,5.5240345001,0.60380935669
BATT_MODEL_RAW:,125,12400.974708,5.5821113586,5.521736145,0.60375213623
BATT_MODEL_RAW:,126,12500.983243,5.5798110962,5.5194511414,0.60359954834
BATT_MODEL_RAW:,127,12600.991479,5.5775356293,5.5171661377,0.60369491577
BATT_MODEL_RAW:,128,12700.999818,5.575252533,5.5148944855,0.60358047485
BATT_MODEL_RAW:,129,12801.007595,5.5729751587,5.5126113892,0.60363769531
BATT_MODEL_RAW:,130,12901.017164,5.5706958771,5.5103263855,0.60369491577
BATT_MODEL_RAW:,131,13001.02436,5.5684185028,5.5080432892,0.60375213623
BATT_MODEL_RAW:,132,13101.032729,5.5661354065,5.5057601929,0.60375213623
BATT_MODEL_RAW:,133,13201.04084,5.5638656616,5.50349617,0.60369491577
BATT_MODEL_RAW:,134,13301.048792,5.56158638,5.5012321472,0.60354232788
BATT_MODEL_RAW:,135,13401.057357,5.5593147278,5.4989719391,0.60342788696
BATT_MODEL_RAW:,136,13501.065533,5.5570335388,5.496673584,0.60359954834
BATT_MODEL_RAW:,137,13601.072805,5.5547714233,5.4943981171,0.60373306274
BATT_MODEL_RAW:,138,13701.079667,5.5524978638,5.4921169281,0.60380935669
BATT_MODEL_RAW:,139,13801.087521,5.5502147675,5.4898300171,0.60384750366
BATT_MODEL_RAW:,140,13901.096324,5.5479354858,5.4875297546,0.60405731201
BATT_MODEL_RAW:,141,14001.103983,5.5456256866,5.4852275848,0.60398101807
BATT_MODEL_RAW:,142,14101.112476,5.5433540344,5.4829120636,0.60441970825
BATT_MODEL_RAW:,143,14201.119282,5.5410652161,5.4806270599,0.60438156128
BATT_MODEL_RAW:,144,14301.128241,5.5387821198,5.4783325195,0.6044960022
BATT_MODEL_RAW:,145,14401.137034,5.5364990234,5.4760303497,0.60468673706
BATT_MODEL_RAW:,146,14501.142064,5.5342140198,5.4737205505,0.60493469238
