PW_MODEL_PW2281S_20_6 
Capacity=2.6335AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 4.9606113434, 1.7695617676 
1, 5.3528499603, 1.7541503906 
2, 5.5556201935, 1.7348861694 
3, 5.696685791, 1.7207527161 
4, 5.8237400055, 1.6975975037 
5, 5.9198799133, 1.6689109802 
6, 6.0123405457, 1.6264152527 
7, 6.0864105225, 1.5805625916 
8, 6.1604824066, 1.5245056152 
9, 6.2212982178, 1.4720344543 
10, 6.2826404572, 1.4155006409 
11, 6.3324737549, 1.3670539856 
12, 6.384469986, 1.3117218018 
13, 6.4321269989, 1.2684249878 
14, 6.4885730743, 1.2379837036 
15, 6.5426673889, 1.227016449 
16, 6.6030216217, 1.2202072144 
17, 6.6556930542, 1.213760376 
18, 6.7116584778, 1.205368042 
19, 6.7596244812, 1.1980438232 
20, 6.8102283478, 1.188659668 
21, 6.8531188965, 1.1806297302 
22, 6.8980350494, 1.1716461182 
23, 6.9361133575, 1.1645126343 
24, 6.9760055542, 1.15650177 
25, 7.0101718903, 1.150226593 
26, 7.0427589417, 1.145401001 
27, 7.0772285461, 1.1404037476 
28, 7.1068534851, 1.1364173889 
29, 7.1383705139, 1.1327171326 
30, 7.1655502319, 1.1299705505 
31, 7.1947402954, 1.1267471313 
32, 7.2201061249, 1.1234283447 
33, 7.2474555969, 1.120929718 
34, 7.2714443207, 1.1185836792 
35, 7.297203064, 1.1168289185 
36, 7.3197841644, 1.114730835 
37, 7.3442764282, 1.1124420166 
38, 7.3658599854, 1.1099624634 
39, 7.3894557953, 1.1070251465 
40, 7.4102954865, 1.1043357849 
41, 7.4331665039, 1.100730896 
42, 7.4535942078, 1.0975456238 
43, 7.476026535, 1.0934448242 
44, 7.4959659576, 1.0894584656 
45, 7.5176353455, 1.0847854614 
46, 7.5364303589, 1.081199646 
47, 7.5559749603, 1.0774421692 
48, 7.5722885132, 1.07421875 
49, 7.5900707245, 1.0706329346 
50, 7.6057281494, 1.0677337646 
51, 7.6208000183, 1.0646820068 
52, 7.6363525391, 1.0613632202 
53, 7.6496486664, 1.0589027405 
54, 7.6637535095, 1.0565948486 
55, 7.6764678955, 1.0543060303 
56, 7.6908073425, 1.0526847839 
57, 7.7034015656, 1.0490989685 
58, 7.7170314789, 1.0463905334 
59, 7.7289333344, 1.044178009 
60, 7.7411193848, 1.0423851013 
61, 7.7520523071, 1.0409355164 
62, 7.7661037445, 1.0378646851 
63, 7.7805233002, 1.0342216492 
64, 7.7982826233, 1.0293579102 
65, 7.8156013489, 1.0230064392 
66, 7.8352451324, 1.0155677795 
67, 7.8527603149, 1.0086250305 
68, 7.8720855713, 1.0010528564 
69, 7.8900985718, 0.99431991577 
70, 7.9108562469, 0.98613739014 
71, 7.9300861359, 0.979347229 
72, 7.9525432587, 0.97118377686 
73, 7.9729804993, 0.96473693848 
74, 7.9961338043, 0.95726013184 
75, 8.0171585083, 0.950756073 
76, 8.0386772156, 0.94501495361 
77, 8.064332962, 0.93881607056 
78, 8.0888195038, 0.93294143677 
79, 8.1176280975, 0.92557907104 
80, 8.1444740295, 0.91960906982 
81, 8.175907135, 0.91381072998 
82, 8.20561409, 0.90826034546 
83, 8.2397003174, 0.90261459351 
84, 8.2710857391, 0.89866638184 
85, 8.3065223694, 0.89458465576 
86, 8.3386001587, 0.89221954346 
87, 8.3740196228, 0.89097976685 
88, 8.4062957764, 0.89151382446 
89, 8.4436302185, 0.89359283447 
90, 8.479631424, 0.89534759521 
91, 8.5230388641, 0.89756011963 
92, 8.5663738251, 0.89794158936 
93, 8.6211872101, 0.89580535889 
94, 8.6792392731, 0.88796615601 
95, 8.7578392029, 0.87442398071 
96, 8.8439979553, 0.8614730835 
97, 8.9609222412, 0.85536956787 
98, 9.0963573456, 0.86164474487 
99, 9.3045806885, 0.90566635132 
100, 9.6364574432, 3.8564300537 
