PW_MODEL_PW2281S_20_6 
Capacity=0.2749AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 6.434965, 4.46348 
1, 6.455996, 4.46246 
2, 6.476793, 4.4638 
3, 6.496157, 4.46438 
4, 6.515656, 4.46648 
5, 6.53471, 4.46774 
6, 6.553072, 4.47344 
7, 6.571466, 4.47481 
8, 6.589397, 4.47774 
9, 6.608475, 4.49002 
10, 6.625565, 4.48273 
11, 6.643789, 4.48503 
12, 6.661953, 4.48498 
13, 6.679159, 4.48494 
14, 6.696692, 4.48624 
15, 6.713516, 4.48694 
16, 6.730742, 4.48649 
17, 6.747385, 4.48673 
18, 6.764011, 4.48465 
19, 6.780487, 4.482 
20, 6.797592, 4.48917 
21, 6.812445, 4.47634 
22, 6.828711, 4.4736 
23, 6.844639, 4.46745 
24, 6.85993, 4.46365 
25, 6.875334, 4.45772 
26, 6.891361, 4.46081 
27, 6.904705, 4.44752 
28, 6.919168, 4.44185 
29, 6.933584, 4.43653 
30, 6.948231, 4.42868 
31, 6.963408, 4.42236 
32, 6.978893, 4.4145 
33, 6.994032, 4.40666 
34, 7.009024, 4.40007 
35, 7.024126, 4.39239 
36, 7.039392, 4.38592 
37, 7.055178, 4.38788 
38, 7.070606, 4.37998 
39, 7.084938, 4.36399 
40, 7.100082, 4.35691 
41, 7.115402, 4.35129 
42, 7.130625, 4.34506 
43, 7.146139, 4.33851 
44, 7.161558, 4.33277 
45, 7.176973, 4.32489 
46, 7.192202, 4.31796 
47, 7.207651, 4.31181 
48, 7.223938, 4.31305 
49, 7.238382, 4.2988 
50, 7.238382, 4.2988 
51, 7.253981, 4.29154 
52, 7.269585, 4.28467 
53, 7.285172, 4.27685 
54, 7.301012, 4.26828 
55, 7.317881, 4.2669 
56, 7.332897, 4.24599 
57, 7.349228, 4.23308 
58, 7.365368, 4.21364 
59, 7.382513, 4.20208 
60, 7.398411, 4.17217 
61, 7.41543, 4.14497 
62, 7.433054, 4.1069 
63, 7.45097, 4.06515 
64, 7.469408, 4.0185 
65, 7.488325, 3.96376 
66, 7.507959, 3.90861 
67, 7.527973, 3.8533 
68, 7.548746, 3.80751 
69, 7.570063, 3.77051 
70, 7.59177, 3.74183 
71, 7.614723, 3.72089 
72, 7.638374, 3.70466 
73, 7.663084, 3.69114 
74, 7.688971, 3.68296 
75, 7.716108, 3.67393 
76, 7.744663, 3.66613 
77, 7.774574, 3.65812 
78, 7.805779, 3.64775 
79, 7.83812, 3.63627 
80, 7.87188, 3.6205 
81, 7.906797, 3.59809 
82, 7.942533, 3.57225 
83, 7.979223, 3.54168 
84, 8.017229, 3.50519 
85, 8.0567, 3.46331 
86, 8.098019, 3.42139 
87, 8.140562, 3.37076 
88, 8.185059, 3.32663 
89, 8.231699, 3.28266 
90, 8.280376, 3.24207 
91, 8.330957, 3.20818 
92, 8.38455, 3.18188 
93, 8.440672, 3.15413 
94, 8.500982, 3.13911 
95, 8.566568, 3.1335 
96, 8.639559, 3.14409 
97, 8.724085, 3.17932 
98, 8.827578, 3.2635 
99, 8.969849, 3.47763 
100, 9.502638, 8.19452 
