TEST_PARAM.comment:,9v-Energizer-Max-522-6LF22

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,REAR TERMINALS

TEST_PARAM.initial_voc:,9.651134
TEST_PARAM.vcutoff:,6.0

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.1
TEST_PARAM.max_discharge_current:,0.1

TEST_PARAM.measure_interval:,100.0

TEST_PARAM.discharge_start_time:,11/28/21 09:37:48
TEST_PARAM.discharge_stop_time:,11/28/21 12:22:45

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,9.502638,8.683186,8.19452
BATT_MODEL_RAW:,2,99.969,8.969849,8.622086,3.47763
BATT_MODEL_RAW:,3,199.935,8.827578,8.501228,3.2635
BATT_MODEL_RAW:,4,299.907,8.724085,8.406153,3.17932
BATT_MODEL_RAW:,5,399.873,8.639559,8.32515,3.14409
BATT_MODEL_RAW:,6,499.847,8.566568,8.253218,3.1335
BATT_MODEL_RAW:,7,599.819,8.500982,8.187071,3.13911
BATT_MODEL_RAW:,8,699.786,8.440672,8.125259,3.15413
BATT_MODEL_RAW:,9,799.759,8.38455,8.066362,3.18188
BATT_MODEL_RAW:,10,899.729,8.330957,8.010139,3.20818
BATT_MODEL_RAW:,11,999.703,8.280376,7.956169,3.24207
BATT_MODEL_RAW:,12,1099.679,8.231699,7.903433,3.28266
BATT_MODEL_RAW:,13,1199.65,8.185059,7.852396,3.32663
BATT_MODEL_RAW:,14,1299.623,8.140562,7.803486,3.37076
BATT_MODEL_RAW:,15,1399.598,8.098019,7.75588,3.42139
BATT_MODEL_RAW:,16,1499.573,8.0567,7.710369,3.46331
BATT_MODEL_RAW:,17,1599.542,8.017229,7.66671,3.50519
BATT_MODEL_RAW:,18,1699.508,7.979223,7.625055,3.54168
BATT_MODEL_RAW:,19,1799.48,7.942533,7.585308,3.57225
BATT_MODEL_RAW:,20,1899.449,7.906797,7.546988,3.59809
BATT_MODEL_RAW:,21,1999.418,7.87188,7.50983,3.6205
BATT_MODEL_RAW:,22,2099.384,7.83812,7.474493,3.63627
BATT_MODEL_RAW:,23,2199.359,7.805779,7.441004,3.64775
BATT_MODEL_RAW:,24,2299.328,7.774574,7.408762,3.65812
BATT_MODEL_RAW:,25,2399.304,7.744663,7.37805,3.66613
BATT_MODEL_RAW:,26,2499.277,7.716108,7.348715,3.67393
BATT_MODEL_RAW:,27,2599.25,7.688971,7.320675,3.68296
BATT_MODEL_RAW:,28,2699.225,7.663084,7.29397,3.69114
BATT_MODEL_RAW:,29,2799.201,7.638374,7.267908,3.70466
BATT_MODEL_RAW:,30,2899.169,7.614723,7.242634,3.72089
BATT_MODEL_RAW:,31,2999.136,7.59177,7.217587,3.74183
BATT_MODEL_RAW:,32,3099.107,7.570063,7.193012,3.77051
BATT_MODEL_RAW:,33,3199.082,7.548746,7.167995,3.80751
BATT_MODEL_RAW:,34,3299.048,7.527973,7.142643,3.8533
BATT_MODEL_RAW:,35,3399.015,7.507959,7.117098,3.90861
BATT_MODEL_RAW:,36,3498.988,7.488325,7.091949,3.96376
BATT_MODEL_RAW:,37,3598.956,7.469408,7.067558,4.0185
BATT_MODEL_RAW:,38,3698.931,7.45097,7.044455,4.06515
