PW_MODEL_PW2281S_20_6 
Capacity=0.3139AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 6.3890171051, 4.1194343567 
1, 6.4164581299, 4.1121673584 
2, 6.4423542023, 4.1079521179 
3, 6.4664669037, 4.103603363 
4, 6.5139694214, 4.0933227539 
5, 6.5363006592, 4.0916442871 
6, 6.5573921204, 4.0882492065 
7, 6.578086853, 4.0871238708 
8, 6.5988273621, 4.0860939026 
9, 6.6187076569, 4.0857124329 
10, 6.6380443573, 4.0875244141 
11, 6.6563949585, 4.0884017944 
12, 6.6913776398, 4.0938186646 
13, 6.7079677582, 4.0966415405 
14, 6.7239170074, 4.1047859192 
15, 6.7398853302, 4.1093444824 
16, 6.754989624, 4.1170692444 
17, 6.7696418762, 4.1249275208 
18, 6.7822265625, 4.1377639771 
19, 6.7959785461, 4.1443252563 
20, 6.8239307404, 4.1616821289 
21, 6.8377952576, 4.168586731 
22, 6.8517742157, 4.1759872437 
23, 6.8654270172, 4.182510376 
24, 6.8790225983, 4.1891860962 
25, 6.891954422, 4.1949462891 
26, 6.9052829742, 4.1999816895 
27, 6.930229187, 4.2101097107 
28, 6.9431858063, 4.2101669312 
29, 6.9557228088, 4.2126274109 
30, 6.9678764343, 4.2130088806 
31, 6.9803333282, 4.2135047913 
32, 6.9925765991, 4.2141532898 
33, 7.0049209595, 4.2122840881 
34, 7.016828537, 4.2108345032 
35, 7.0407238007, 4.2067718506 
36, 7.0526638031, 4.2023277283 
37, 7.0649909973, 4.1976165771 
38, 7.077375412, 4.191608429 
39, 7.0896778107, 4.1858482361 
40, 7.1015758514, 4.1804885864 
41, 7.1139163971, 4.1745758057 
42, 7.1264324188, 4.1691398621 
43, 7.1518573761, 4.1527748108 
44, 7.1647472382, 4.1460609436 
45, 7.1774692535, 4.1383361816 
46, 7.190410614, 4.1287612915 
47, 7.2040863037, 4.1215705872 
48, 7.2176914215, 4.1115760803 
49, 7.2315196991, 4.1003990173 
50, 7.2454853058, 4.0903282166 
51, 7.273103714, 4.0696907043 
52, 7.2873058319, 4.0585708618 
53, 7.3014068604, 4.0481567383 
54, 7.3155155182, 4.037437439 
55, 7.3299770355, 4.0261459351 
56, 7.3443222046, 4.0149497986 
57, 7.3585929871, 4.003162384 
58, 7.3876800537, 3.9811897278 
59, 7.402381897, 3.9672279358 
60, 7.4172992706, 3.9534187317 
61, 7.4321937561, 3.9382362366 
62, 7.4472236633, 3.9241981506 
63, 7.4622554779, 3.9081573486 
64, 7.4773521423, 3.8897323608 
65, 7.4930458069, 3.8697433472 
66, 7.5247097015, 3.8260269165 
67, 7.5410270691, 3.8010215759 
68, 7.5578117371, 3.7703895569 
69, 7.5743217468, 3.73960495 
70, 7.5913619995, 3.7089920044 
71, 7.608795166, 3.6775016785 
72, 7.6266975403, 3.6461448669 
73, 7.6447982788, 3.6161613464 
74, 7.6824607849, 3.5613441467 
75, 7.7019443512, 3.535861969 
76, 7.7223644257, 3.5168075562 
77, 7.7437534332, 3.4984588623 
78, 7.7661647797, 3.4826469421 
79, 7.7897090912, 3.4698677063 
80, 7.8144302368, 3.4608078003 
81, 7.8694896698, 3.4435844421 
82, 7.8996143341, 3.4351158142 
83, 7.9312553406, 3.424987793 
84, 7.9646148682, 3.410358429 
85, 7.9998035431, 3.3902549744 
86, 8.0364570618, 3.3652114868 
87, 8.0745620728, 3.3334350586 
88, 8.1147079468, 3.2961463928 
89, 8.2009792328, 3.2146835327 
90, 8.247297287, 3.1744194031 
91, 8.2961368561, 3.1348991394 
92, 8.3476924896, 3.0996513367 
93, 8.4022674561, 3.0668830872 
94, 8.4603214264, 3.039226532 
95, 8.5226535797, 3.0191802979 
96, 8.5910129547, 3.0075645447 
97, 8.7570362091, 3.0305480957 
98, 8.8675460815, 3.091583252 
99, 9.0202789307, 3.2698440552 
100, 9.5404777527, 6.8731117249 
