TEST_PARAM.comment:,9v

SourceMeter Model:,2450
SourceMeter S/N:,04518725
SourceMeter Firmware:,1.7.7b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,9.644200325
TEST_PARAM.vcutoff:,6

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.1
TEST_PARAM.max_discharge_current:,0.1

TEST_PARAM.measure_interval:,100

TEST_PARAM.discharge_start_time:,11/27/21 08:37:49
TEST_PARAM.discharge_stop_time:,11/27/21 11:46:10

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03484642,9.5404777527,8.8531665802,6.8731117249
BATT_MODEL_RAW:,2,100.04459062,9.0202789307,8.6932945251,3.2698440552
BATT_MODEL_RAW:,3,200.04527378,8.8675460815,8.5583877563,3.091583252
BATT_MODEL_RAW:,4,300.05381038,8.7570362091,8.4539813995,3.0305480957
BATT_MODEL_RAW:,5,400.05503998,8.667678833,8.3669586182,3.0072021484
BATT_MODEL_RAW:,6,500.05643312,8.5910129547,8.2902565002,3.0075645447
BATT_MODEL_RAW:,7,600.06537134,8.5226535797,8.2207355499,3.0191802979
BATT_MODEL_RAW:,8,700.0748833,8.4603214264,8.1563987732,3.039226532
BATT_MODEL_RAW:,9,800.08410578,8.4022674561,8.0955791473,3.0668830872
BATT_MODEL_RAW:,10,900.08495496,8.3476924896,8.037727356,3.0996513367
BATT_MODEL_RAW:,11,1000.0947788,8.2961368561,7.9826469421,3.1348991394
BATT_MODEL_RAW:,12,1100.1036962,8.247297287,7.9298553467,3.1744194031
BATT_MODEL_RAW:,13,1200.1048204,8.2009792328,7.8795108795,3.2146835327
BATT_MODEL_RAW:,14,1300.1138097,8.1567401886,7.8310508728,3.256893158
BATT_MODEL_RAW:,15,1400.1236346,8.1147079468,7.7850933075,3.2961463928
BATT_MODEL_RAW:,16,1500.1330223,8.0745620728,7.7412185669,3.3334350586
BATT_MODEL_RAW:,17,1600.1432242,8.0364570618,7.6999359131,3.3652114868
BATT_MODEL_RAW:,18,1700.1530546,7.9998035431,7.6607780457,3.3902549744
BATT_MODEL_RAW:,19,1800.1611717,7.9646148682,7.6235790253,3.410358429
BATT_MODEL_RAW:,20,1900.1714037,7.9312553406,7.5887565613,3.424987793
BATT_MODEL_RAW:,21,2000.1801906,7.8996143341,7.5561027527,3.4351158142
BATT_MODEL_RAW:,22,2100.188476,7.8694896698,7.5251312256,3.4435844421
BATT_MODEL_RAW:,23,2200.1896975,7.8410491943,7.495847702,3.4520149231
BATT_MODEL_RAW:,24,2300.1992358,7.8144302368,7.4683494568,3.4608078003
BATT_MODEL_RAW:,25,2400.2080163,7.7897090912,7.4427223206,3.4698677063
BATT_MODEL_RAW:,26,2500.2178808,7.7661647797,7.4179000854,3.4826469421
BATT_MODEL_RAW:,27,2600.2279618,7.7437534332,7.393907547,3.4984588623
BATT_MODEL_RAW:,28,2700.2288072,7.7223644257,7.37068367,3.5168075562
BATT_MODEL_RAW:,29,2800.2373573,7.7019443512,7.3483581543,3.535861969
BATT_MODEL_RAW:,30,2900.2376043,7.6824607849,7.3263263702,3.5613441467
BATT_MODEL_RAW:,31,3000.2382703,7.663444519,7.3046588898,3.5878562927
BATT_MODEL_RAW:,32,3100.2395723,7.6447982788,7.2831821442,3.6161613464
BATT_MODEL_RAW:,33,3200.2400088,7.6266975403,7.2620830536,3.6461448669
BATT_MODEL_RAW:,34,3300.2489678,7.608795166,7.2410449982,3.6775016785
BATT_MODEL_RAW:,35,3400.2506615,7.5913619995,7.2204627991,3.7089920044
BATT_MODEL_RAW:,36,3500.2605787,7.5743217468,7.2003612518,3.73960495
BATT_MODEL_RAW:,37,3600.2699161,7.5578117371,7.1807727814,3.7703895569
BATT_MODEL_RAW:,38,3700.270833,7.5410270691,7.1609249115,3.8010215759
BATT_MODEL_RAW:,39,3800.2711186,7.5247097015,7.1421070099,3.8260269165
BATT_MODEL_RAW:,40,3900.2717411,7.5087909698,7.1237983704,3.8499259949
BATT_MODEL_RAW:,41,4000.2722775,7.4930458069,7.1060714722,3.8697433472
BATT_MODEL_RAW:,42,4100.2824135,7.4773521423,7.0883789063,3.8897323608
