PW_MODEL_PW2281S_20_6 
Capacity=0.1583AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.084593, 0.6684999999999608 
1, 3.252218, 0.6399999999999739 
2, 3.348869, 0.6310000000000482 
3, 3.430841, 0.6235000000001101 
4, 3.490343, 0.6085000000000118 
5, 3.544641, 0.5960000000000409 
6, 3.585083, 0.5885000000001028 
7, 3.622717, 0.5800000000000249 
8, 3.649326, 0.5644999999998568 
9, 3.667208, 0.5560000000000009 
10, 3.67547, 0.5499999999998284 
11, 3.680828, 0.5509999999999682 
12, 3.68405, 0.5494999999999806 
13, 3.686815, 0.5580000000000584 
14, 3.689211, 0.5539999999999434 
15, 3.693638, 0.5539999999999434 
16, 3.700657, 0.5619999999999514 
17, 3.707495, 0.5620000000001735 
18, 3.712355, 0.5705000000000293 
19, 3.716633, 0.5625000000000213 
20, 3.720673, 0.5619999999999514 
21, 3.725636, 0.5640000000000089 
22, 3.730062, 0.5720000000000169 
23, 3.734562, 0.5824999999999303 
24, 3.738214, 0.5939999999999834 
25, 3.741255, 0.5915000000000781 
26, 3.744045, 0.5854999999999055 
27, 3.746426, 0.5924999999999958 
28, 3.749159, 0.5855000000001276 
29, 3.751919, 0.5839999999999179 
30, 3.755356, 0.5895000000000206 
31, 3.758734, 0.5830000000000002 
32, 3.761595, 0.5854999999999055 
33, 3.764221, 0.579499999999955 
34, 3.766916, 0.5700000000001815 
35, 3.76915, 0.5619999999999514 
36, 3.771801, 0.5614999999998815 
37, 3.774204, 0.5665000000001363 
38, 3.776915, 0.5704999999998073 
39, 3.779264, 0.5699999999999594 
40, 3.781797, 0.5654999999999966 
41, 3.783995, 0.5550000000000832 
42, 3.786371, 0.5405000000000548 
43, 3.788593, 0.552000000000108 
44, 3.791098, 0.5549999999998612 
45, 3.793461, 0.5530000000000257 
46, 3.796129, 0.5595000000000461 
47, 3.79862, 0.5635000000001611 
48, 3.801476, 0.5630000000000912 
49, 3.804131, 0.5629999999998692 
50, 3.807198, 0.5684999999999718 
51, 3.81002, 0.5645000000000788 
52, 3.813339, 0.5759999999999099 
53, 3.816477, 0.583499999999848 
54, 3.820158, 0.5825000000001523 
55, 3.823593, 0.587499999999963 
56, 3.827608, 0.5844999999999878 
57, 3.831339, 0.583499999999848 
58, 3.835634, 0.5885000000001028 
59, 3.83964, 0.5875000000001851 
60, 3.844267, 0.587499999999963 
61, 3.848574, 0.58400000000014 
62, 3.853569, 0.5779999999999674 
63, 3.858265, 0.5824999999999303 
64, 3.863726, 0.5820000000000825 
65, 3.868895, 0.5790000000001072 
66, 3.874966, 0.5749999999999922 
67, 3.880817, 0.5729999999999347 
68, 3.887844, 0.567499999999832 
69, 3.894915, 0.5820000000000825 
70, 3.904377, 0.5780000000001895 
71, 3.91403, 0.5779999999999674 
72, 3.925114, 0.5780000000001895 
73, 3.934483, 0.5715000000001691 
74, 3.943916, 0.5710000000000992 
75, 3.950647, 0.5690000000000417 
76, 3.954878, 0.5694999999998895 
77, 3.95768, 0.5739999999998524 
78, 3.961699, 0.5724999999998648 
79, 3.966318, 0.5719999999997949 
80, 3.971996, 0.5699999999999594 
81, 3.97764, 0.5695000000001116 
82, 3.984688, 0.5749999999999922 
83, 3.99188, 0.5710000000000992 
84, 4.001184, 0.576000000000132 
85, 4.011204, 0.5809999999999427 
86, 4.024729, 0.5854999999996835 
87, 4.038897, 0.584000000000362 
88, 4.053822, 0.5839999999999179 
89, 4.063059, 0.5820000000000825 
90, 4.068792, 0.5855000000001276 
91, 4.072851, 0.5844999999999878 
92, 4.079618, 0.5855000000001276 
93, 4.087601, 0.587499999999963 
94, 4.097672, 0.5925000000002179 
95, 4.107515, 0.587499999999963 
96, 4.11799, 0.5844999999999878 
97, 4.127272, 0.5809999999999427 
98, 4.139893, 0.5809999999999427 
99, 4.153898, 0.5739999999998524 
100, 4.169792, 0.4824999999999413 
