PW_MODEL_PW2281S_20_6 
Capacity=1.2666AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.052904, 0.29236 
1, 3.210077, 0.28845 
2, 3.261536, 0.28719 
3, 3.3342, 0.28524 
4, 3.359022, 0.28454 
5, 3.39242, 0.28343 
6, 3.40386, 0.2829 
7, 3.421112, 0.282 
8, 3.42798, 0.28205 
9, 3.439466, 0.28076 
10, 3.444546, 0.28036 
11, 3.454197, 0.27958 
12, 3.459145, 0.2792 
13, 3.469784, 0.27834 
14, 3.475374, 0.27811 
15, 3.486404, 0.27731 
16, 3.49181, 0.27701 
17, 3.502298, 0.27626 
18, 3.507355, 0.2759 
19, 3.516928, 0.275 
20, 3.521448, 0.27475 
21, 3.529964, 0.27422 
22, 3.533976, 0.27367 
23, 3.541607, 0.27302 
24, 3.545273, 0.2731 
25, 3.552176, 0.27201 
26, 3.558741, 0.27125 
27, 3.561903, 0.27094 
28, 3.567997, 0.27018 
29, 3.57095, 0.26978 
30, 3.576717, 0.26907 
31, 3.57954, 0.26863 
32, 3.585144, 0.26794 
33, 3.587927, 0.26764 
34, 3.593491, 0.2668 
35, 3.596273, 0.26636 
36, 3.601898, 0.26548 
37, 3.604771, 0.26501 
38, 3.610609, 0.26413 
39, 3.613617, 0.26383 
40, 3.619825, 0.26296 
41, 3.623049, 0.26255 
42, 3.629686, 0.26203 
43, 3.633196, 0.26182 
44, 3.640566, 0.26133 
45, 3.644472, 0.26094 
46, 3.652824, 0.2609 
47, 3.657164, 0.26049 
48, 3.666531, 0.2583 
49, 3.671476, 0.258 
50, 3.681973, 0.25771 
51, 3.693115, 0.2572 
52, 3.698946, 0.25702 
53, 3.710993, 0.25646 
54, 3.71719, 0.25627 
55, 3.72991, 0.25602 
56, 3.736366, 0.25558 
57, 3.749434, 0.25517 
58, 3.756056, 0.2549 
59, 3.769224, 0.254 
60, 3.775774, 0.25366 
61, 3.788633, 0.25264 
62, 3.794935, 0.25245 
63, 3.807203, 0.25161 
64, 3.813181, 0.25122 
65, 3.824829, 0.25051 
66, 3.83053, 0.25045 
67, 3.841618, 0.24952 
68, 3.847036, 0.24908 
69, 3.85775, 0.24828 
70, 3.863077, 0.24809 
71, 3.87356, 0.24706 
72, 3.878777, 0.24664 
73, 3.889191, 0.24586 
74, 3.894409, 0.24534 
75, 3.905003, 0.24468 
76, 3.915817, 0.24362 
77, 3.921316, 0.24355 
78, 3.932478, 0.24353 
79, 3.938074, 0.24307 
80, 3.949318, 0.24298 
81, 3.954882, 0.24294 
82, 3.965946, 0.24294 
83, 3.971386, 0.24303 
84, 3.982082, 0.24295 
85, 3.987299, 0.24296 
86, 3.99745, 0.24311 
87, 4.002357, 0.24299 
88, 4.011806, 0.2428 
89, 4.016384, 0.24284 
90, 4.025682, 0.24295 
91, 4.030684, 0.24298 
92, 4.041887, 0.2429 
93, 4.048119, 0.24292 
94, 4.061697, 0.24307 
95, 4.069065, 0.24341 
96, 4.08486, 0.24292 
97, 4.093428, 0.24306 
98, 4.112375, 0.24267 
99, 4.123213, 0.24185 
100, 4.162346, 0.23792 
