TEST_PARAM.comment:,LP503562-100mA

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,REAR TERMINALS

TEST_PARAM.initial_voc:,4.164126
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.1
TEST_PARAM.max_discharge_current:,0.1

TEST_PARAM.measure_interval:,300.0

TEST_PARAM.discharge_start_time:,11/30/21 13:50:20
TEST_PARAM.discharge_stop_time:,12/01/21 02:30:17

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.162346,4.138554,0.23792
BATT_MODEL_RAW:,2,299.981,4.136148,4.112007,0.24141
BATT_MODEL_RAW:,3,599.955,4.123213,4.099028,0.24185
BATT_MODEL_RAW:,4,899.934,4.112375,4.088108,0.24267
BATT_MODEL_RAW:,5,1199.911,4.10253,4.078238,0.24292
BATT_MODEL_RAW:,6,1499.886,4.093428,4.069122,0.24306
BATT_MODEL_RAW:,7,1799.86,4.08486,4.060568,0.24292
BATT_MODEL_RAW:,8,2099.836,4.076763,4.052464,0.24299
BATT_MODEL_RAW:,9,2399.814,4.069065,4.044724,0.24341
BATT_MODEL_RAW:,10,2699.791,4.061697,4.03739,0.24307
BATT_MODEL_RAW:,11,2999.764,4.054729,4.030415,0.24314
BATT_MODEL_RAW:,12,3299.74,4.048119,4.023827,0.24292
BATT_MODEL_RAW:,13,3599.714,4.041887,4.017597,0.2429
BATT_MODEL_RAW:,14,3899.696,4.036051,4.011745,0.24306
BATT_MODEL_RAW:,15,4199.669,4.030684,4.006386,0.24298
BATT_MODEL_RAW:,16,4499.643,4.025682,4.001387,0.24295
BATT_MODEL_RAW:,17,4799.622,4.020956,3.996672,0.24284
BATT_MODEL_RAW:,18,5099.599,4.016384,3.9921,0.24284
BATT_MODEL_RAW:,19,5399.585,4.011806,3.987526,0.2428
BATT_MODEL_RAW:,20,5699.562,4.007128,3.982838,0.2429
