TEST_PARAM.comment:,LP785060

SourceMeter Model:,2400
SourceMeter S/N:,0788255
SourceMeter Firmware:,C32

TEST_PARAM.terminals:,REAR TERMINALS

TEST_PARAM.initial_voc:,4.173783
TEST_PARAM.vcutoff:,3.1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.15
TEST_PARAM.max_discharge_current:,0.15

TEST_PARAM.measure_interval:,300.0

TEST_PARAM.discharge_start_time:,11/27/21 10:54:40
TEST_PARAM.discharge_stop_time:,11/28/21 07:44:35

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.0,4.173601,4.138756,0.2323
BATT_MODEL_RAW:,2,299.991,4.161013,4.125908,0.2340333
BATT_MODEL_RAW:,3,599.976,4.153675,4.118372,0.2353533
BATT_MODEL_RAW:,4,899.956,4.146946,4.111515,0.2362067
BATT_MODEL_RAW:,5,1199.948,4.140528,4.105011,0.23678
BATT_MODEL_RAW:,6,1499.937,4.134361,4.09878,0.2372067
BATT_MODEL_RAW:,7,1799.916,4.12837,4.092768,0.2373467
BATT_MODEL_RAW:,8,2099.905,4.122547,4.086906,0.2376067
BATT_MODEL_RAW:,9,2399.881,4.11688,4.081223,0.2377133
BATT_MODEL_RAW:,10,2699.858,4.1113,4.075636,0.23776
BATT_MODEL_RAW:,11,2999.833,4.105839,4.070164,0.2378333
BATT_MODEL_RAW:,12,3299.812,4.100462,4.064791,0.2378067
BATT_MODEL_RAW:,13,3599.791,4.095198,4.059502,0.2379733
BATT_MODEL_RAW:,14,3899.781,4.089987,4.054283,0.2380267
BATT_MODEL_RAW:,15,4199.758,4.084867,4.049137,0.2382
BATT_MODEL_RAW:,16,4499.75,4.079782,4.044048,0.2382267
BATT_MODEL_RAW:,17,4799.725,4.074745,4.039021,0.23816
BATT_MODEL_RAW:,18,5099.702,4.069773,4.034031,0.23828
BATT_MODEL_RAW:,19,5399.693,4.064856,4.029095,0.2384067
BATT_MODEL_RAW:,20,5699.687,4.059959,4.024204,0.2383667
BATT_MODEL_RAW:,21,5999.674,4.055119,4.019348,0.2384733
BATT_MODEL_RAW:,22,6299.653,4.050287,4.014517,0.2384667
BATT_MODEL_RAW:,23,6599.646,4.045534,4.00975,0.23856
BATT_MODEL_RAW:,24,6899.638,4.040779,4.004995,0.23856
BATT_MODEL_RAW:,25,7199.615,4.036076,4.000288,0.2385867
